Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle.Powertrain.TractionBattery.BatteryConditioning,branch,,,,,,Properties related to preparing the vehicle battery for charging or driving.,,,,[]
Vehicle.Powertrain.TractionBattery.BatteryConditioning.IsActive,sensor,boolean,,,,,Indicates if battery conditioning is active (i.e. actively monitors battery temperature). True = Active. False = Inactive.,This signal is typically true when mode is not INACTIVE and time is within defined start/end times.,,,
Vehicle.Powertrain.TractionBattery.BatteryConditioning.IsOngoing,sensor,boolean,,,,,"Indicating if battery conditioning is currently ongoing. Battery conditioning is considered ongoing when the battery conditioning system is actively heating or cooling the battery, or requesting heating or cooling.","When battery conditioning is active, but temperature is already within acceptable range so that no cooling or heating is needed then IsOngoing shall report False.",,,
Vehicle.Powertrain.TractionBattery.BatteryConditioning.RequestedMode,actuator,string,,,,,Defines requested mode for battery conditioning. INACTIVE - Battery conditioning inactive. FAST_CHARGING_PREPARATION - Battery conditioning for fast charging. DRIVING_PREPARATION - Battery conditioning for driving.,The Mode and TargetTime can be used to calculate TargetTemperature and StartTime,"['INACTIVE', 'FAST_CHARGING_PREPARATION', 'DRIVING_PREPARATION']",,
Vehicle.Powertrain.TractionBattery.BatteryConditioning.StartTime,actuator,string,,iso8601,,,"Start time for battery conditioning, formatted according to ISO 8601 with UTC time zone.","If the vehicle is asleep, this is the time the vehicle and the battery conditioning system must wake up and start monitoring the battery and if necessary start heating/cooling of the battery.",,,
Vehicle.Powertrain.TractionBattery.BatteryConditioning.TargetTime,actuator,string,,iso8601,,,"Target time when conditioning shall be finished, formatted according to ISO 8601 with UTC time zone.",For FAST_CHARGING mode this is typically the time when charging is supposed to start. For DRIVING mode this is typically the expected departure time. Battery conditioning will be deactivated when this time has passed.,,,
Vehicle.Powertrain.TractionBattery.BatteryConditioning.TargetTemperature,actuator,float,,celsius,,,Target temperature for battery conditioning.,Target temperature possibly differs between different modes as well as other factors. Allowed deviation from target temperature is implementation dependent.,,,
Vehicle.Powertrain.FuelSystem,branch,,,,,,Fuel system data.,,,,[]
Vehicle.Powertrain.FuelSystem.SupportedFuelTypes,attribute,string[],,,,,High level information of fuel types supported,If a vehicle also has an electric drivetrain (e.g. hybrid) that will be obvious from the PowerTrain.Type signal.,"['GASOLINE', 'DIESEL', 'E85', 'LPG', 'CNG', 'LNG', 'H2', 'OTHER']",,
Vehicle.Powertrain.FuelSystem.SupportedFuel,attribute,string[],,,,,"Detailed information on fuels supported by the vehicle. Identifiers originating from DIN EN 16942:2021-08, appendix B, with additional suffix for octane (RON) where relevant.","RON 95 is sometimes referred to as Super, RON 98 as Super Plus.","['E5_95', 'E5_98', 'E10_95', 'E10_98', 'E85', 'B7', 'B10', 'B20', 'B30', 'B100', 'XTL', 'LPG', 'CNG', 'LNG', 'H2', 'OTHER']",,
Vehicle.Powertrain.FuelSystem.HybridType,attribute,string,,,,,Defines the hybrid type of the vehicle.,,"['UNKNOWN', 'NOT_APPLICABLE', 'STOP_START', 'BELT_ISG', 'CIMG', 'PHEV']",UNKNOWN,
Vehicle.Powertrain.FuelSystem.TankCapacity,attribute,float,,l,,,Capacity of the fuel tank in liters.,,,,
Vehicle.Powertrain.FuelSystem.AbsoluteLevel,sensor,float,,l,,,Current available fuel in the fuel tank expressed in liters.,,,,
Vehicle.Powertrain.FuelSystem.RelativeLevel,sensor,uint8,,percent,0,100,Level in fuel tank as percent of capacity. 0 = empty. 100 = full.,,,,
Vehicle.Powertrain.FuelSystem.Range,sensor,uint32,,m,,,Remaining range in meters using only liquid fuel.,,,,
Vehicle.Powertrain.FuelSystem.TimeRemaining,sensor,uint32,,s,,,Time remaining in seconds before the fuel tank is empty.,,,,
Vehicle.Powertrain.FuelSystem.InstantConsumption,sensor,float,,l/100km,0,,Current consumption in liters per 100 km.,,,,
Vehicle.Powertrain.FuelSystem.AverageConsumption,sensor,float,,l/100km,0,,Average consumption in liters per 100 km.,,,,
Vehicle.Powertrain.FuelSystem.ConsumptionSinceStart,sensor,float,,l,,,Fuel amount in liters consumed since start of current trip.,A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The signal may however keep the value of the last trip until a new trip is started.,,,
Vehicle.Powertrain.FuelSystem.ConsumptionSinceLastRefuel,sensor,float,,l,,,Fuel consumption since last refueling.,Amount of fuel consumed since last refueling.,,,
Vehicle.Powertrain.FuelSystem.IsEngineStopStartEnabled,sensor,boolean,,,,,Indicates whether eco start stop is currently enabled.,,,,
Vehicle.Powertrain.FuelSystem.IsFuelLevelLow,sensor,boolean,,,,,Indicates that the fuel level is low (e.g. <50km range).,,,,
Vehicle.Powertrain.FuelSystem.RefuelPortPosition,attribute,string[],,,,,"Position of refuel port(s). First part indicates side of vehicle, second part relative position on that side.",,"['FRONT_LEFT', 'FRONT_MIDDLE', 'FRONT_RIGHT', 'REAR_LEFT', 'REAR_MIDDLE', 'REAR_RIGHT', 'LEFT_FRONT', 'LEFT_MIDDLE', 'LEFT_REAR', 'RIGHT_FRONT', 'RIGHT_MIDDLE', 'RIGHT_REAR']",,
Vehicle.Powertrain.FuelSystem.IsFuelPortFlapOpen,actuator,boolean,,,,,Status of the fuel port flap(s). True if at least one is open.,,,,
Vehicle.Powertrain.AccumulatedBrakingEnergy,sensor,float,,kWh,,,The accumulated energy from regenerative braking over lifetime.,,,,
Vehicle.Powertrain.Range,sensor,uint32,,m,,,Remaining range in meters using all energy sources available in the vehicle.,,,,
Vehicle.Powertrain.TimeRemaining,sensor,uint32,,s,,,Time remaining in seconds before all energy sources available in the vehicle are empty.,,,,
Vehicle.Powertrain.Type,attribute,string,,,,,Defines the powertrain type of the vehicle.,For vehicles with a combustion engine (including hybrids) more detailed information on fuels supported can be found in FuelSystem.SupportedFuelTypes and FuelSystem.SupportedFuels.,"['COMBUSTION', 'HYBRID', 'ELECTRIC']",,
Vehicle.Powertrain.PowerOptimizeLevel,actuator,uint8,,,0,10,"Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.",,,,
Vehicle.Powertrain.IsAutoPowerOptimize,actuator,boolean,,,,,"Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.",,,,
Vehicle.Body,branch,,,,,,All body components.,,,,[]
Vehicle.Body.BodyType,attribute,string,,,,,Body type code as defined by ISO 3779.,,,,
Vehicle.Body.Hood,branch,,,,,,Hood status. Start position for Hood is Closed.,"The hood is the hinged cover over the engine compartment of a motor vehicles. Depending on vehicle, it can be either in the front or back of the vehicle. Luggage compartments are in VSS called trunks, even if they are located at the front of the vehicle.",,,[]
Vehicle.Body.Hood.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Body.Hood.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Body.Hood.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Body.Trunk,branch,,,,,,Trunk status. Start position for Trunk is Closed.,"A trunk is a luggage compartment in a vehicle. Depending on vehicle, it can be either in the front or back of the vehicle. Some vehicles may have trunks both at the front and at the rear of the vehicle.",,,"['Front', 'Rear']"
Vehicle.Body.Trunk.IsLightOn,actuator,boolean,,,,,Is trunk light on,V4.0 Moved from Vehicle.Cabin.Lights.IsTrunkOn because Trunk is not defined as part of the Cabin.,,,
Vehicle.Body.Trunk.IsLocked,actuator,boolean,,,,,Is item locked or unlocked. True = Locked. False = Unlocked.,,,,
Vehicle.Body.Trunk.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Body.Trunk.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Body.Trunk.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Body.Horn,branch,,,,,,Horn signals.,,,,[]
Vehicle.Body.Horn.IsActive,actuator,boolean,,,,,Horn active or inactive. True = Active. False = Inactive.,,,,
Vehicle.Body.Raindetection,branch,,,,,,Rain sensor signals.,,,,[]
Vehicle.Body.Raindetection.Intensity,sensor,uint8,,percent,,100,"Rain intensity. 0 = Dry, No Rain. 100 = Covered.",,,,
Vehicle.Body.Windshield,branch,,,,,,Windshield signals.,,,,"['Front', 'Rear']"
Vehicle.Body.Windshield.Wiping,branch,,,,,,Windshield wiper signals.,,,,[]
Vehicle.Body.Windshield.Wiping.Mode,actuator,string,,,,,"Wiper mode requested by user/driver. INTERVAL indicates intermittent wiping, with fixed time interval between each wipe. RAIN_SENSOR indicates intermittent wiping based on rain intensity.",,"['OFF', 'SLOW', 'MEDIUM', 'FAST', 'INTERVAL', 'RAIN_SENSOR']",,
Vehicle.Body.Windshield.Wiping.Intensity,actuator,uint8,,,,,"Relative intensity/sensitivity for interval and rain sensor mode as requested by user/driver. Has no significance if Windshield.Wiping.Mode is OFF/SLOW/MEDIUM/FAST 0 - wipers inactive. 1 - minimum intensity (lowest frequency/sensitivity, longest interval). 2/3/4/... - higher intensity (higher frequency/sensitivity, shorter interval). Maximum value supported is vehicle specific.",,,,
Vehicle.Body.Windshield.Wiping.System,branch,,,,,,Signals to control behavior of wipers in detail. By default VSS expects only one instance.,These signals are typically not directly available to the user/driver of the vehicle. The overlay in overlays/extensions/dual_wiper_systems.vspec can be used to modify this branch to support two instances; Primary and Secondary.,,,[]
Vehicle.Body.Windshield.Wiping.System.Mode,actuator,string,,,,,Requested mode of wiper system. STOP_HOLD means that the wipers shall move to position given by TargetPosition and then hold the position. WIPE means that wipers shall move to the position given by TargetPosition and then hold the position if no new TargetPosition is requested. PLANT_MODE means that wiping is disabled. Exact behavior is vehicle specific. EMERGENCY_STOP means that wiping shall be immediately stopped without holding the position.,,"['STOP_HOLD', 'WIPE', 'PLANT_MODE', 'EMERGENCY_STOP']",,
Vehicle.Body.Windshield.Wiping.System.Frequency,actuator,uint8,,cpm,,,"Wiping frequency/speed, measured in cycles per minute. The signal concerns the actual speed of the wiper blades when moving. Intervals/pauses are excluded, i.e. the value corresponds to the number of cycles that would be completed in 1 minute if wiping permanently over default range.","Examples - 0 = Wipers stopped, 80 = Wipers doing 80 cycles per minute (in WIPE mode).",,,
Vehicle.Body.Windshield.Wiping.System.TargetPosition,actuator,float,,degrees,,,Requested position of main wiper blade for the wiper system relative to reference position. Location of reference position (0 degrees) and direction of positive/negative degrees is vehicle specific. System behavior when receiving TargetPosition depends on Mode and IsEndingWipeCycle. Supported values are vehicle specific and might be dynamically corrected. If IsEndingWipeCycle=True then wipers will complete current movement before actuating new TargetPosition. If IsEndingWipeCycle=False then wipers will directly change destination if the TargetPosition is changed.,Default parking position might be used as reference position.,,,
Vehicle.Body.Windshield.Wiping.System.ActualPosition,actuator,float,,degrees,,,Actual position of main wiper blade for the wiper system relative to reference position. Location of reference position (0 degrees) and direction of positive/negative degrees is vehicle specific.,Default parking position might be used as reference position.,,,
Vehicle.Body.Windshield.Wiping.System.DriveCurrent,sensor,float,,A,,,Actual current used by wiper drive.,May be negative in special situations.,,,
Vehicle.Body.Windshield.Wiping.System.IsWiping,sensor,boolean,,,,,Indicates wiper movement. True if wiper blades are moving. Change of direction shall be considered as IsWiping if wipers will continue to move directly after the change of direction.,,,,
Vehicle.Body.Windshield.Wiping.System.IsEndingWipeCycle,sensor,boolean,,,,,"Indicates if current wipe movement is completed or near completion. True = Movement is completed or near completion. Changes to RequestedPosition will be executed first after reaching previous RequestedPosition, if it has not already been reached. False = Movement is not near completion. Any change to RequestedPosition will be executed immediately. Change of direction may not be allowed.",In continuous wiping between A and B this sensor can be used a trigger to update TargetPosition.,,,
Vehicle.Body.Windshield.Wiping.System.IsWiperError,sensor,boolean,,,,,Indicates system failure. True if wiping is disabled due to system failure.,,,,
Vehicle.Body.Windshield.Wiping.System.IsPositionReached,sensor,boolean,,,,,"Indicates if a requested position has been reached. IsPositionReached refers to the previous position in case the TargetPosition is updated while IsEndingWipeCycle=True. True = Current or Previous TargetPosition reached. False = Position not (yet) reached, or wipers have moved away from the reached position.",,,,
Vehicle.Body.Windshield.Wiping.System.IsBlocked,sensor,boolean,,,,,Indicates if wiper movement is blocked. True = Movement blocked. False = Movement not blocked.,,,,
Vehicle.Body.Windshield.Wiping.System.IsOverheated,sensor,boolean,,,,,Indicates if wiper system is overheated. True = Wiper system overheated. False = Wiper system not overheated.,,,,
Vehicle.Body.Windshield.Wiping.WiperWear,sensor,uint8,,percent,,100,Wiper wear as percent. 0 = No Wear. 100 = Worn. Replacement required. Method for calculating or estimating wiper wear is vehicle specific. For windshields with multiple wipers the wear reported shall correspond to the most worn wiper.,,,,
Vehicle.Body.Windshield.Wiping.IsWipersWorn,sensor,boolean,,,,,"Wiper wear status. True = Worn, Replacement recommended or required. False = Not Worn.",,,,
Vehicle.Body.Windshield.IsHeatingOn,actuator,boolean,,,,,"Windshield heater status. False - off, True - on.",,,,
Vehicle.Body.Windshield.WasherFluid,branch,,,,,,Windshield washer fluid signals,,,,[]
Vehicle.Body.Windshield.WasherFluid.IsLevelLow,sensor,boolean,,,,,Low level indication for washer fluid. True = Level Low. False = Level OK.,,,,
Vehicle.Body.Windshield.WasherFluid.Level,sensor,uint8,,percent,,100,Washer fluid level as a percent. 0 = Empty. 100 = Full.,,,,
Vehicle.Body.Lights,branch,,,,,,Exterior lights.,,,,[]
Vehicle.Body.Lights.LightSwitch,actuator,string,,,,,Status of the vehicle main light switch.,A vehicle typically does not support all alternatives. Which lights that actually are lit may vary according to vehicle configuration and local legislation. OFF is typically indicated by 0. POSITION is typically indicated by ISO 7000 symbol 0456. DAYTIME_RUNNING_LIGHTS (DRL) can be indicated by ISO 7000 symbol 2611. AUTO indicates that vehicle automatically selects suitable lights. BEAM is typically indicated by ISO 7000 symbol 0083.,"['OFF', 'POSITION', 'DAYTIME_RUNNING_LIGHTS', 'AUTO', 'BEAM']",,
Vehicle.Body.Lights.IsHighBeamSwitchOn,actuator,boolean,,,,,Status of the high beam switch. True = high beam enabled. False = high beam not enabled.,This signal indicates the status of the switch and does not indicate if low or high beam actually are on. That typically depends on vehicle logic and other signals like Lights.LightSwitch and Vehicle.LowVoltageSystemState.,,,
Vehicle.Body.Lights.Beam,branch,,,,,,Beam lights.,,,,"['Low', 'High']"
Vehicle.Body.Lights.Beam.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.Beam.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Running,branch,,,,,,Daytime running lights (DRL).,,,,[]
Vehicle.Body.Lights.Running.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.Running.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Backup,branch,,,,,,Backup lights.,,,,[]
Vehicle.Body.Lights.Backup.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.Backup.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Parking,branch,,,,,,Parking lights.,,,,[]
Vehicle.Body.Lights.Parking.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.Parking.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Fog,branch,,,,,,Fog lights.,,,,"['Rear', 'Front']"
Vehicle.Body.Lights.Fog.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.Fog.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.LicensePlate,branch,,,,,,License plate lights.,,,,[]
Vehicle.Body.Lights.LicensePlate.IsOn,actuator,boolean,,,,,Indicates if light is on or off. True = On. False = Off.,,,,
Vehicle.Body.Lights.LicensePlate.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Brake,branch,,,,,,Brake lights.,,,,[]
Vehicle.Body.Lights.Brake.IsActive,actuator,string,,,,,Indicates if break-light is active. INACTIVE means lights are off. ACTIVE means lights are on. ADAPTIVE means that break-light is indicating emergency-breaking.,,"['INACTIVE', 'ACTIVE', 'ADAPTIVE']",,
Vehicle.Body.Lights.Brake.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.Hazard,branch,,,,,,Hazard lights.,,,,[]
Vehicle.Body.Lights.Hazard.IsSignaling,actuator,boolean,,,,,Indicates if light is signaling or off. True = signaling. False = Off.,,,,
Vehicle.Body.Lights.Hazard.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Lights.DirectionIndicator,branch,,,,,,Indicator lights.,,,,"['Left', 'Right']"
Vehicle.Body.Lights.DirectionIndicator.IsSignaling,actuator,boolean,,,,,Indicates if light is signaling or off. True = signaling. False = Off.,,,,
Vehicle.Body.Lights.DirectionIndicator.IsDefect,sensor,boolean,,,,,Indicates if light is defect. True = Light is defect. False = Light has no defect.,,,,
Vehicle.Body.Mirrors,branch,,,,,,All mirrors.,,,,"['DriverSide', 'PassengerSide']"
Vehicle.Body.Mirrors.Tilt,actuator,int8,,percent,-100,100,Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.,,,,
Vehicle.Body.Mirrors.Pan,actuator,int8,,percent,-100,100,Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.,,,,
Vehicle.Body.Mirrors.IsHeatingOn,actuator,boolean,,,,,Mirror Heater on or off. True = Heater On. False = Heater Off.,,,,
Vehicle.Body.Mirrors.IsLocked,actuator,boolean,,,,,"Is mirror movement locked? True = Locked, mirror will not react to Tilt/Pan change. False = Unlocked.",,,,
Vehicle.Body.Mirrors.IsFolded,actuator,boolean,,,,,Is mirror folded? True = Fully or partially folded. False = Fully unfolded.,,,,
Vehicle.Body.RearMainSpoilerPosition,actuator,float,,percent,0,100,"Rear spoiler position, 0% = Spoiler fully stowed. 100% = Spoiler fully exposed.",,,,
Vehicle.Body.PowerOptimizeLevel,actuator,uint8,,,0,10,"Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.",,,,
Vehicle.Body.IsAutoPowerOptimize,actuator,boolean,,,,,"Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.",,,,
Vehicle.Cabin,branch,,,,,,"All in-cabin components, including doors.",,,,[]
Vehicle.Cabin.RearShade,branch,,,,,,"Rear window shade. Open = Retracted, Closed = Deployed. Start position for RearShade is Open/Retracted.",,,,[]
Vehicle.Cabin.RearShade.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Cabin.RearShade.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Cabin.RearShade.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Cabin.HVAC,branch,,,,,,Climate control,,,,[]
Vehicle.Cabin.HVAC.Station,branch,,,,,,HVAC for single station in the vehicle,,,,"['Row[1,4]', ['Driver', 'Passenger']]"
Vehicle.Cabin.HVAC.Station.FanSpeed,actuator,uint8,,percent,0,100,"Fan Speed, 0 = off. 100 = max",,,,
Vehicle.Cabin.HVAC.Station.Temperature,actuator,float,,celsius,,,Temperature,,,,
Vehicle.Cabin.HVAC.Station.AirDistribution,actuator,string,,,,,Direction of airstream,,"['UP', 'MIDDLE', 'DOWN']",,
Vehicle.Cabin.HVAC.IsRecirculationActive,actuator,boolean,,,,,Is recirculation active.,,,,
Vehicle.Cabin.HVAC.IsFrontDefrosterActive,actuator,boolean,,,,,Is front defroster active.,,,,
Vehicle.Cabin.HVAC.IsRearDefrosterActive,actuator,boolean,,,,,Is rear defroster active.,,,,
Vehicle.Cabin.HVAC.IsAirConditioningActive,actuator,boolean,,,,,Is Air conditioning active.,,,,
Vehicle.Cabin.HVAC.AmbientAirTemperature,sensor,float,,celsius,,,Ambient air temperature inside the vehicle.,,,,
Vehicle.Cabin.HVAC.PowerOptimizeLevel,actuator,uint8,,,0,10,"Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.",,,,
Vehicle.Cabin.HVAC.IsAutoPowerOptimize,actuator,boolean,,,,,"Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.",,,,
Vehicle.Cabin.Infotainment,branch,,,,,,Infotainment system.,,,,[]
Vehicle.Cabin.Infotainment.Media,branch,,,,,,All Media actions,,,,[]
Vehicle.Cabin.Infotainment.Media.Action,actuator,string,,,,,Tells if the media was,,"['UNKNOWN', 'STOP', 'PLAY', 'FAST_FORWARD', 'FAST_BACKWARD', 'SKIP_FORWARD', 'SKIP_BACKWARD']",,
Vehicle.Cabin.Infotainment.Media.Played,branch,,,,,,Collection of signals updated in concert when a new media is played,,,,[]
Vehicle.Cabin.Infotainment.Media.Played.Source,actuator,string,,,,,Media selected for playback,,"['UNKNOWN', 'SIRIUS_XM', 'AM', 'FM', 'DAB', 'TV', 'CD', 'DVD', 'AUX', 'USB', 'DISK', 'BLUETOOTH', 'INTERNET', 'VOICE', 'BEEP']",,
Vehicle.Cabin.Infotainment.Media.Played.Genre,sensor,string,,,,,Name of genre being played,,,,
Vehicle.Cabin.Infotainment.Media.Played.Artist,sensor,string,,,,,Name of artist being played,,,,
Vehicle.Cabin.Infotainment.Media.Played.Album,sensor,string,,,,,Name of album being played,,,,
Vehicle.Cabin.Infotainment.Media.Played.Track,sensor,string,,,,,Name of track being played,,,,
Vehicle.Cabin.Infotainment.Media.Played.URI,sensor,string,,,,,User Resource associated with the media,,,,
Vehicle.Cabin.Infotainment.Media.Played.PlaybackRate,actuator,float,,,,,Current playback rate of media being played.,"The normal playback rate is multiplied by this value to obtain the current rate, so a value of 1.0 indicates normal speed. Values of lower than 1.0 make the media play slower than normal. Values of higher than 1.0 make the media play faster than normal.",,,
Vehicle.Cabin.Infotainment.Media.DeclinedURI,sensor,string,,,,,URI of suggested media that was declined,,,,
Vehicle.Cabin.Infotainment.Media.SelectedURI,actuator,string,,,,,URI of suggested media that was selected,,,,
Vehicle.Cabin.Infotainment.Media.Volume,actuator,uint8,,percent,0,100,Current Media Volume,,,,
Vehicle.Cabin.Infotainment.Navigation,branch,,,,,,All navigation actions,,,,[]
Vehicle.Cabin.Infotainment.Navigation.DestinationSet,branch,,,,,,A navigation has been selected.,,,,[]
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Latitude,actuator,double,,degrees,-90,90,Latitude of destination in WGS 84 geodetic coordinates.,,,,
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Longitude,actuator,double,,degrees,-180,180,Longitude of destination in WGS 84 geodetic coordinates.,,,,
Vehicle.Cabin.Infotainment.Navigation.Mute,actuator,string,,,,,Navigation mute state that was selected.,,"['MUTED', 'ALERT_ONLY', 'UNMUTED']",,
Vehicle.Cabin.Infotainment.Navigation.Volume,actuator,uint8,,percent,0,100,Current navigation volume,,,,
Vehicle.Cabin.Infotainment.Navigation.GuidanceVoice,actuator,string,,,,,Navigation guidance state that was selected.,ETC indicates a voice alternative not covered by the explicitly listed alternatives.,"['STANDARD_MALE', 'STANDARD_FEMALE', 'ETC']",,
Vehicle.Cabin.Infotainment.Navigation.Map,branch,,,,,,All map actions,,,,[]
Vehicle.Cabin.Infotainment.Navigation.Map.IsAutoScaleModeUsed,actuator,boolean,,,,,Used to select auto-scaling mode. This feature dynamically adjusts the zoom level of the map to provide an optimal view based on the current speed of the vehicle,"If true, then auto-scaling mode is used. If false, then manual-scaling mode is used.",,,
Vehicle.Cabin.Infotainment.HMI,branch,,,,,,HMI related signals,,,,[]
Vehicle.Cabin.Infotainment.HMI.CurrentLanguage,sensor,string,,,,,ISO 639-1 standard language code for the current HMI,,,,
Vehicle.Cabin.Infotainment.HMI.FontSize,actuator,string,,,,,Font size used in the current HMI,,"['STANDARD', 'LARGE', 'EXTRA_LARGE']",,
Vehicle.Cabin.Infotainment.HMI.DateFormat,actuator,string,,,,,Date format used in the current HMI,,"['YYYY_MM_DD', 'DD_MM_YYYY', 'MM_DD_YYYY', 'YY_MM_DD', 'DD_MM_YY', 'MM_DD_YY']",,
Vehicle.Cabin.Infotainment.HMI.TimeFormat,actuator,string,,,,,Time format used in the current HMI,,"['HR_12', 'HR_24']",,
Vehicle.Cabin.Infotainment.HMI.DistanceUnit,actuator,string,,,,,Distance unit used in the current HMI,,"['MILES', 'KILOMETERS']",,
Vehicle.Cabin.Infotainment.HMI.FuelVolumeUnit,actuator,string,,,,,Fuel volume unit used in the current HMI,,"['LITER', 'GALLON_US', 'GALLON_UK']",,
Vehicle.Cabin.Infotainment.HMI.FuelEconomyUnits,actuator,string,,,,,Fuel economy unit used in the current HMI,,"['MPG_UK', 'MPG_US', 'MILES_PER_LITER', 'KILOMETERS_PER_LITER', 'LITERS_PER_100_KILOMETERS']",,
Vehicle.Cabin.Infotainment.HMI.EVEconomyUnits,actuator,string,,,,,EV fuel economy unit used in the current HMI,,"['MILES_PER_KILOWATT_HOUR', 'KILOMETERS_PER_KILOWATT_HOUR', 'KILOWATT_HOURS_PER_100_MILES', 'KILOWATT_HOURS_PER_100_KILOMETERS', 'WATT_HOURS_PER_MILE', 'WATT_HOURS_PER_KILOMETER']",,
Vehicle.Cabin.Infotainment.HMI.TemperatureUnit,actuator,string,,,,,Temperature unit used in the current HMI,,"['C', 'F']",,
Vehicle.Cabin.Infotainment.HMI.TirePressureUnit,actuator,string,,,,,Tire pressure unit used in the current HMI,,"['PSI', 'KPA', 'BAR']",,
Vehicle.Cabin.Infotainment.HMI.SpeedUnit,actuator,string,,,,,Speed unit used in the current HMI,,"['METERS_PER_SECOND', 'MILES_PER_HOUR', 'KILOMETERS_PER_HOUR']",,
Vehicle.Cabin.Infotainment.HMI.EVEnergyUnits,actuator,string,,,,,EV energy unit used in the current HMI,"Ampere hours is by definition not an energy unit, but can be used as a measurement of energy if the voltage, like nominal voltage of the battery, is known.","['WATT_HOURS', 'AMPERE_HOURS', 'KILOWATT_HOURS']",,
